User,Initial mood,Current mood,Target mood,Mood threshold,Done,Is scenario changed,Action id,Iteration,Time,Mood change,light intensity,Light color,Temperature,Music type,Music volume,Fragrance,Initial relax,Initial arousal,Current relax,Current arousal
User 1 (F21),0,0,3,4,False,False,4,10,150,3,3,0,1,5,2,0,10,10,40,10
User 1 (F21),0,0,3,4,False,False,4,11,165,3,3,0,1,5,2,0,10,10,43,10
User 1 (F21),0,0,3,4,False,False,4,12,180,3,3,0,1,5,2,0,10,10,46,10
User 1 (F21),0,3,3,4,True,False,4,13,195,3,3,0,1,5,2,0,10,10,49,10
User 1 (F21),0,0,3,4,False,False,5,1,15,3,3,0,2,0,0,0,10,10,13,10
User 1 (F21),0,0,3,4,False,False,5,2,30,3,3,0,2,0,0,0,10,10,16,10
User 1 (F21),0,0,3,4,False,False,5,3,45,3,3,0,2,0,0,0,10,10,19,10
User 1 (F21),0,0,3,4,False,False,5,4,60,3,3,0,2,0,0,0,10,10,22,10
User 1 (F21),0,0,3,4,False,False,5,5,75,3,3,0,2,0,0,0,10,10,25,10
User 1 (F21),0,0,3,4,False,False,5,6,90,3,3,0,2,0,0,0,10,10,28,10
User 1 (F21),0,0,3,4,False,False,5,7,105,3,3,0,2,0,0,0,10,10,31,10
User 1 (F21),0,0,3,4,False,False,5,8,120,3,3,0,2,0,0,0,10,10,34,10
User 1 (F21),0,0,3,4,False,False,5,9,135,3,3,0,2,0,0,0,10,10,37,10
User 1 (F21),0,0,3,4,False,False,5,10,150,3,3,0,2,0,0,0,10,10,40,10
User 1 (F21),0,0,3,4,False,False,5,11,165,3,3,0,2,0,0,0,10,10,43,10
User 1 (F21),0,0,3,4,False,False,5,12,180,3,3,0,2,0,0,0,10,10,46,10
User 1 (F21),0,3,3,4,True,False,5,13,195,3,3,0,2,0,0,0,10,10,49,10
User 1 (F21),0,0,3,4,False,False,6,1,15,4,3,0,2,0,2,0,10,10,14,10
User 1 (F21),0,0,3,4,False,False,6,2,30,4,3,0,2,0,2,0,10,10,18,10
User 1 (F21),0,0,3,4,False,False,6,3,45,4,3,0,2,0,2,0,10,10,22,10
User 1 (F21),0,0,3,4,False,False,6,4,60,4,3,0,2,0,2,0,10,10,26,10
User 1 (F21),0,0,3,4,False,False,6,5,75,4,3,0,2,0,2,0,10,10,30,10
User 1 (F21),0,0,3,4,False,False,6,6,90,4,3,0,2,0,2,0,10,10,34,10
User 1 (F21),0,0,3,4,False,False,6,7,105,4,3,0,2,0,2,0,10,10,38,10
User 1 (F21),0,0,3,4,False,False,6,8,120,4,3,0,2,0,2,0,10,10,42,10
User 1 (F21),0,0,3,4,False,False,6,9,135,4,3,0,2,0,2,0,10,10,46,10
User 1 (F21),0,3,3,4,True,False,6,10,150,4,3,0,2,0,2,0,10,10,50,10
